subject_id,gender,trial,action,block,violator,victim,cost,ratio,rt
3,男,37,0,1,8,2,4,3,1.55156
3,男,38,0,1,9,1,4,3,0.335735
3,男,39,0,1,9,1,4,1,0.369355
3,男,40,0,1,7,3,2,3,0.321045
3,男,41,0,1,7,3,1,3,0.34954
3,男,42,0,1,8,2,5,3,0.117195
3,男,43,0,1,6,4,5,3,1.652425
3,男,44,0,1,6,4,4,3,0.358345
3,男,45,0,1,6,4,3,3,0.532305
3,男,46,0,1,8,2,4,1,0.82597
3,男,47,0,1,9,1,1,1,0.200115
3,男,48,0,1,6,4,5,1,0.0998
3,男,49,0,1,9,1,1,3,0.21075
3,男,50,0,1,7,3,4,1,0.16
3,男,51,1,2,7,3,4,3,14.141865
3,男,52,1,2,8,2,1,1,4.488195
3,男,53,1,2,7,3,1,3,0.85093
3,男,54,0,2,7,3,2,3,3.2063
3,男,55,0,2,8,2,1,3,5.989265
3,男,56,0,2,6,4,5,3,5.51717
3,男,57,0,2,6,4,4,1,4.620845
3,男,58,1,2,7,3,3,3,1.33188
3,男,59,1,2,9,1,1,3,2.757685
3,男,60,1,2,9,1,3,3,4.59956
3,男,61,0,2,5,5,1,1,3.77573
3,男,62,0,2,7,3,1,1,6.148715
3,男,63,0,2,8,2,4,1,0.36809
3,男,64,1,2,7,3,5,3,1.703655
3,男,65,0,2,5,5,3,1,0.7504
3,男,66,0,2,8,2,5,1,1.789745
3,男,67,0,2,8,2,4,3,4.143105
3,男,68,0,2,6,4,5,1,10.19859
3,男,69,0,2,7,3,3,1,0.199335
3,男,70,0,2,9,1,2,1,0.78517
3,男,71,0,2,6,4,3,1,0.383065
3,男,72,0,2,5,5,5,1,0.38317
3,男,73,0,2,8,2,3,3,2.790475
3,男,74,0,2,6,4,4,3,17.44838
3,男,75,0,2,5,5,5,3,0.750695
3,男,76,1,2,9,1,4,3,0.32352
3,男,77,0,2,5,5,4,1,0.65719
3,男,78,1,2,6,4,3,3,3.668345
3,男,79,0,2,7,3,4,1,4.733185
3,男,80,0,2,7,3,5,1,1.46772
3,男,81,1,2,9,1,5,1,1.65498
3,男,82,0,2,8,2,3,1,0.684385
3,男,83,0,2,9,1,3,1,0.352155
3,男,84,0,2,7,3,2,1,0.415465
3,男,85,0,2,8,2,2,3,0.549925
3,男,86,0,2,5,5,1,3,0.968325
3,男,87,0,2,5,5,2,3,1.39927
3,男,88,1,2,9,1,1,1,1.516345
3,男,89,0,2,6,4,2,1,0.882385
3,男,90,0,2,5,5,4,3,1.35762
3,男,91,1,2,9,1,5,3,2.73575
3,男,92,1,2,9,1,4,1,69.152685
3,男,93,1,2,9,1,2,3,1.620245
3,男,94,0,2,8,2,5,3,2.51804
3,男,95,0,2,6,4,1,1,1.35036
3,男,96,0,2,8,2,2,1,0.31762
3,男,97,0,2,5,5,3,3,0.300755
3,男,98,0,2,5,5,2,1,0.28903
3,男,99,0,2,6,4,1,3,0.49962
3,男,100,0,2,6,4,2,3,0.17328
4,男,1,0,2,7,3,1,1,5.540555
4,男,2,0,2,8,2,1,1,1.05439
4,男,3,1,2,8,2,2,3,1.487195
4,男,4,0,2,7,3,3,1,1.17703
4,男,5,1,2,7,3,5,3,1.49028
4,男,6,0,2,7,3,4,3,0.472035
4,男,7,0,2,8,2,3,1,0.32235
4,男,8,0,2,7,3,3,3,0.749255
4,男,9,1,2,5,5,5,3,0.84631
4,男,10,0,2,6,4,1,1,0.35401
4,男,11,0,2,5,5,2,1,0.537575
4,男,12,0,2,8,2,1,3,0.242325
4,男,13,0,2,9,1,5,1,0.000925
4,男,14,0,2,9,1,5,3,0.04917
4,男,15,0,2,9,1,4,1,0.025585
4,男,16,1,2,9,1,3,3,0.100545
4,男,17,1,2,5,5,1,1,0.000975
4,男,18,0,2,9,1,1,1,0.071045
4,男,19,0,2,5,5,5,1,0.06672
4,男,20,0,2,8,2,5,1,0.015765
4,男,21,0,2,9,1,3,1,1.41964
4,男,22,0,2,7,3,1,3,0.351925
4,男,23,0,2,7,3,2,1,0.43365
4,男,24,0,2,6,4,3,3,0.08284
4,男,25,1,2,8,2,4,3,0.63612
4,男,26,0,2,7,3,2,3,0.08251
4,男,27,0,2,7,3,5,1,0.113445
4,男,28,0,2,6,4,4,1,0.34992
4,男,29,0,2,9,1,1,3,0.124915
4,男,30,0,2,9,1,2,1,0.74316
4,男,31,0,2,8,2,5,3,0.034025
4,男,32,0,2,9,1,4,3,0.068585
4,男,33,1,2,5,5,4,1,4.87228
4,男,34,0,2,6,4,5,3,0.05962
4,男,35,1,2,5,5,1,3,4.841345
4,男,36,1,2,8,2,2,1,0.02023
4,男,37,0,2,6,4,2,3,0.02638
4,男,38,0,2,6,4,5,1,0.15491
4,男,39,0,2,9,1,2,3,0.233395
4,男,40,1,2,5,5,3,1,0.08704
4,男,41,0,2,8,2,3,3,12.292985
4,男,42,0,2,5,5,2,3,0.152065
4,男,43,1,2,6,4,1,3,0.10399
4,男,44,0,2,6,4,4,3,2.508455
4,男,45,0,2,5,5,4,3,1.56832
4,男,46,0,2,8,2,4,1,0.468655
4,男,47,1,2,7,3,4,1,0.50005
4,男,48,1,2,5,5,3,3,0.522675
4,男,49,1,2,6,4,3,1,1.62016
4,男,50,1,2,6,4,2,1,0.323165
4,男,51,0,1,8,2,3,3,3.33762
4,男,52,0,1,5,5,3,3,0.271865
4,男,53,1,1,6,4,1,1,0.15032
4,男,54,0,1,6,4,5,3,0.722385
4,男,55,1,1,5,5,2,3,0.903585
4,男,56,0,1,9,1,4,1,0.533545
4,男,57,1,1,8,2,4,3,0.718065
4,男,58,1,1,7,3,2,1,0.899535
4,男,59,0,1,7,3,5,3,0.08264
4,男,60,1,1,6,4,5,1,0.33363
4,男,61,1,1,7,3,3,3,0.47433
4,男,62,0,1,8,2,5,3,0.366455
